artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
Tones And I,Dance Monkey,1,1,24,50183626,2020-01-02
Doja Cat,Candy,81,-1,7,5632102,2020-01-02
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),4,-1,76,5615316,2020-01-02
Drake,God's Plan,1,-1,94,5610279,2020-01-02
"Riton, Oliver Heldens, Vula",Turn Me On (feat. Vula),131,-1,5,5587052,2020-01-02
Billie Eilish,ocean eyes,108,179,51,5572164,2020-01-02
"Pedro Capó, Farruko",Calma - Remix,5,-1,59,5540299,2020-01-02
Lil Nas X,Panini,7,188,28,5528812,2020-01-02
"Khalid, Disclosure",Talk (feat. Disclosure),10,-1,46,5527007,2020-01-02
"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,11,192,23,5497365,2020-01-02
"Lil Mosey, Gunna",Stuck In A Dream (feat. Gunna),37,-1,13,5486588,2020-01-02
Queen,Don't Stop Me Now - Remastered 2011,51,-1,58,5452916,2020-01-02
Niall Horan,Nice To Meet Ya,56,-1,12,5438167,2020-01-02
Mabel,Don't Call Me Up,11,-1,41,5400983,2020-01-02
"The Chainsmokers, Halsey",Closer,2,-1,145,5373658,2020-01-02
Travis Scott,goosebumps,60,-1,125,5367671,2020-01-02
JACKBOYS,JACKBOYS,143,-1,1,5363493,2020-01-02
Ed Sheeran,Perfect,4,-1,147,5359303,2020-01-02
"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),2,-1,71,5322598,2020-01-02
"J Balvin, Bad Bunny",QUE PRETENDES,15,199,27,5322063,2020-01-02
James Arthur,Say You Won't Let Go,7,-1,156,5310870,2020-01-02
"Post Malone, Ozzy Osbourne, Travis Scott",Take What You Want (feat. Ozzy Osbourne & Travis Scott),6,197,17,5287562,2020-01-02
Doja Cat,Say So,127,-1,1,5656539,2020-01-02
Shawn Mendes,If I Can't Have You,4,-1,34,5281458,2020-01-02
Juice WRLD,Legends,50,137,5,5721876,2020-01-02
"The Chainsmokers, Kygo",Family,105,200,4,5767152,2020-01-02
DaBaby,VIBEZ,53,196,14,6480604,2020-01-02
"Sech, Ozuna",Si Te Vas,48,147,14,6431230,2020-01-02
"Daddy Yankee, Snow",Con Calma,2,170,49,6420739,2020-01-02
"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),8,154,34,6413514,2020-01-02
Halsey,Graveyard,31,177,16,6230416,2020-01-02
"Chris Brown, Drake",No Guidance (feat. Drake),11,168,30,6157919,2020-01-02
Selena Gomez,Look At Her Now,9,172,10,6143422,2020-01-02
Khalid,Up All Night,51,182,7,6142780,2020-01-02
Billie Eilish,bury a friend,2,159,49,6138388,2020-01-02
XXXTENTACION,SAD!,1,158,96,6127965,2020-01-02
"Sam Smith, Normani",Dancing With A Stranger (with Normani),7,186,51,6116873,2020-01-02
Camila Cabello,Liar,22,161,17,6102634,2020-01-02
Lil Baby,Woah,56,181,8,6080808,2020-01-02
Panic! At The Disco,High Hopes,9,-1,79,6066722,2020-01-02
"Young Thug, Travis Scott, Gunna",Hot (Remix) [feat. Gunna and Travis Scott],33,175,9,6052309,2020-01-02
"Kygo, Whitney Houston",Higher Love,31,-1,26,6027989,2020-01-02
Noah Cyrus,July,119,198,8,6002645,2020-01-02
DaBaby,Suge,26,190,36,5976571,2020-01-02
"Major Lazer, J Balvin, El Alfa, Diplo",Que Calor,77,195,16,5886683,2020-01-02
Post Malone,Better Now,1,193,88,5815158,2020-01-02
"YNW Melly, 9lokknine",223's (feat. 9lokknine),32,171,17,5802073,2020-01-02
"French Montana, Post Malone, Cardi B, Rvssian","Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",48,-1,6,5759111,2020-01-02
Mariah Carey,All I Want for Christmas Is You,1,2,24,5241737,2020-01-02
J. Cole,MIDDLE CHILD,2,-1,49,5189291,2020-01-02
"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",1,-1,60,5182771,2020-01-02
"The Chainsmokers, Coldplay",Something Just Like This,2,-1,128,4845843,2020-01-02
Imagine Dragons,Thunder,8,-1,136,4789895,2020-01-02
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),155,-1,3,4780310,2020-01-02
Anne-Marie,2002,27,-1,85,4743162,2020-01-02
John Legend,All of Me,147,-1,49,4734547,2020-01-02
"Trippie Redd, DaBaby",Death (feat. DaBaby),117,-1,3,4720218,2020-01-02
"Sam Feldt, RANI",Post Malone (feat. RANI),59,-1,25,4706229,2020-01-02
Juice WRLD,Let Me Know (I Wonder Why Freestyle),102,-1,2,4701532,2020-01-02
Dominic Fike,3 Nights,51,-1,38,4688866,2020-01-02
Conan Gray,Maniac,189,-1,1,4681587,2020-01-02
"Gradur, Heuss L'enfoiré",Ne reviens pas,113,-1,4,4676857,2020-01-02
Joji,SLOW DANCING IN THE DARK,75,-1,21,4672168,2020-01-02
Ozuna,Fantasía,91,-1,2,4659704,2020-01-02
Queen,Another One Bites The Dust - Remastered 2011,36,-1,58,4655115,2020-01-02
Billie Eilish,wish you were gay,3,-1,31,4650306,2020-01-02
Dua Lipa,New Rules,2,-1,104,4630675,2020-01-02
Jorge & Mateus,Cheirosa - Ao Vivo,196,-1,1,4623030,2020-01-02
"Camila Cabello, Young Thug",Havana (feat. Young Thug),1,-1,114,4620876,2020-01-02
"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,152,-1,7,4607385,2020-01-02
"Taylor Swift, Shawn Mendes",Lover (Remix) [feat. Shawn Mendes],33,-1,6,4595450,2020-01-02
"Meek Mill, Drake",Going Bad (feat. Drake),11,-1,53,4551623,2020-01-02
24kGoldn,VALENTINO,99,-1,12,4849793,2020-01-02
Lil Nas X,Old Town Road,3,-1,40,4852004,2020-01-02
Jonas Brothers,Only Human,31,-1,28,4877745,2020-01-02
"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,161,-1,5,4881894,2020-01-02
Tones And I,Never Seen the Rain,154,-1,1,5177796,2020-01-02
"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,155,-1,1,5173753,2020-01-02
"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),120,-1,4,5149797,2020-01-02
Maluma,11 PM,31,-1,32,5147702,2020-01-02
"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Perreo en La Luna,158,-1,1,5147442,2020-01-02
5 Seconds of Summer,Youngblood,8,-1,89,5127620,2020-01-02
Lewis Capaldi,Bruises,66,-1,23,5119165,2020-01-02
XXXTENTACION,Moonlight,2,-1,93,5092728,2020-01-02
Billie Eilish,all the good girls go to hell,11,-1,23,5089157,2020-01-02
"Young Thug, J. Cole, Travis Scott",The London (feat. J. Cole & Travis Scott),6,-1,31,5079458,2020-01-02
"Idina Menzel, AURORA",Into the Unknown,56,146,6,6489811,2020-01-02
XXXTENTACION,Jocelyn Flores,7,-1,122,5067880,2020-01-02
"The Chainsmokers, ILLENIUM, Lennon Stella",Takeaway,28,-1,22,5035904,2020-01-02
"Kina, Adriana Proenza",Can We Kiss Forever?,167,-1,6,5034157,2020-01-02
Avicii,Wake Me Up,13,-1,25,5031074,2020-01-02
Lauv,I Like Me Better,29,-1,133,5027238,2020-01-02
Juice WRLD,All Girls Are The Same,48,184,38,5022370,2020-01-02
"Justin Quiles, NATTI NATASHA, Farruko, Lenny Tavárez, Dalex, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",85,-1,15,5007648,2020-01-02
Alec Benjamin,Let Me Down Slowly,27,-1,55,4992098,2020-01-02
"Alan Walker, Ava Max","Alone, Pt. II",173,-1,1,4955994,2020-01-02
Taylor Swift,You Need To Calm Down,4,-1,27,4905299,2020-01-02
Dean Lewis,Be Alright,12,-1,75,4887023,2020-01-02
"Kina, Snøw",Get You The Moon (feat. Snøw),95,-1,29,5067714,2020-01-02
"ROSALÍA, J Balvin, El Guincho",Con Altura,30,176,40,6553879,2020-01-02
Apache 207,Roller,66,-1,18,5253358,2020-01-02
Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,99,152,3,6574093,2020-01-02
"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),1,61,34,12885850,2020-01-02
The Weeknd,Heartless,4,47,6,12781406,2020-01-02
"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3,60,27,12673326,2020-01-02
Juice WRLD,Lucid Dreams,3,39,86,12337982,2020-01-02
Don Toliver,No Idea,32,66,5,12330887,2020-01-02
"Juice WRLD, YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),14,52,13,12112872,2020-01-02
"Rauw Alejandro, Farruko",Fantasias,28,57,14,11929120,2020-01-02
Lewis Capaldi,Before You Go,19,64,6,11851834,2020-01-02
"JACKBOYS, Sheck Wes",GANG GANG,36,-1,1,11484613,2020-01-02
Lil Uzi Vert,Futsal Shuffle 2020,18,46,3,11472876,2020-01-02
"JACKBOYS, Travis Scott, Don Toliver",WHAT TO DO? (feat. Don Toliver),38,-1,1,10980949,2020-01-02
"Don Toliver, Offset, Quavo",Had Enough (feat. Quavo & Offset),39,-1,1,10967607,2020-01-02
"MEDUZA, Becky Hill, Goodboys",Lose Control,34,85,11,10632666,2020-01-02
Ariana Grande,7 rings,1,77,50,10570155,2020-01-02
Sam Smith,How Do You Sleep?,7,75,24,10544297,2020-01-02
"J Balvin, Bad Bunny",LA CANCIÓN,17,69,27,10501991,2020-01-02
"Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,2,86,39,10483714,2020-01-02
"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",5,80,13,10360035,2020-01-02
"Y2K, bbno$",Lalala,4,74,28,10215601,2020-01-02
"Ed Sheeran, Camila Cabello, Cardi B",South of the Border (feat. Camila Cabello & Cardi B),10,91,25,10019267,2020-01-02
"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,48,90,7,9966686,2020-01-02
"JACKBOYS, Travis Scott, Young Thug",OUT WEST (feat. Young Thug),27,-1,1,13014508,2020-01-02
DaBaby,BOP,26,55,14,13108721,2020-01-02
"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,2,49,24,13153651,2020-01-02
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,53,63,13525959,2020-01-02
"Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles",Bellaquita - Remix,100,142,6,6563206,2020-01-02
"KAROL G, Nicki Minaj",Tusa,3,6,8,29349573,2020-01-02
Maroon 5,Memories,2,9,15,26067853,2020-01-02
Trevor Daniel,Falling,5,8,7,25901488,2020-01-02
Post Malone,Circles,1,12,18,25481417,2020-01-02
Dua Lipa,Don't Start Now,5,13,9,25355075,2020-01-02
The Weeknd,Blinding Lights,7,15,5,24279792,2020-01-02
"Shawn Mendes, Camila Cabello",Señorita,1,18,28,22341642,2020-01-02
Billie Eilish,everything i wanted,2,16,8,21828884,2020-01-02
"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),9,20,12,21495411,2020-01-02
Tyga,Ayy Macarena,49,73,7,9810547,2020-01-02
Lewis Capaldi,Someone You Loved,4,25,52,19926066,2020-01-02
Billie Eilish,bad guy,1,30,40,19126747,2020-01-02
Harry Styles,Adore You,6,26,4,17625649,2020-01-02
"Travis Scott, ROSALÍA, Lil Baby",HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,16,-1,1,16492946,2020-01-02
"Camila Cabello, DaBaby",My Oh My (feat. DaBaby),17,41,4,16413012,2020-01-02
